var,importance,random_perm_importance,lasso_coefficient
role_Heavy Support,0.0001006794221301,1.7423257842130722e-05,4.191337719785588
1209,4.973329676066507e-05,1.6690304223021535e-05,0.0
<Clan>,6.19293432509538e-05,1.4267918267596436e-05,-1.4502530747393787
Warhost,0.0001237845826947,1.3987794565273326e-05,-28.162150353936237
<Chapter>,0.0001489988802652,1.37625682806064e-05,-8.708770822916028
2853,7.313599856847691e-06,1.1622426947366372e-05,-0.0
4887,4.227110765884475e-05,1.0075302343448555e-05,-44.00538320513051
1217,4.82115607058292e-05,9.12248037288066e-06,-78.68981247569826
2800,4.5004339327417815e-06,8.875253695594943e-06,-0.0
Tzeentch,5.14892967358755e-05,8.614717775334846e-06,4.124156185126004
4929,4.540442108495764e-06,7.805147765904685e-06,-0.0
Slaanesh,4.809802140042229e-05,7.679609850819169e-06,0.0
<Dread Household>,7.993470031775748e-06,7.606279431193741e-06,-0.0
1423,2.899759842496374e-05,7.502133535131072e-06,-21.184088709511546
faction_id_ORK,6.309588049630014e-05,7.449664818959256e-06,0.0
role_Dedicated Transport,5.452874792603103e-05,7.020468694030058e-06,1.533715181319395
3462,2.2953975527185902e-06,6.723949373843574e-06,-0.0
165,3.850342846945553e-06,6.063413442691789e-06,0.0
Aspect Warrior,1.3620284083690725e-05,5.754732127738471e-06,-0.0
1627,2.457976417102824e-06,3.5329406857798062e-06,0.0
<Hive Fleet>,3.079590816446186e-05,3.518424966375555e-06,-7.1255766867086585
1207,5.034984662321368e-06,3.4503994141843464e-06,-0.0
faction_id_CD,7.742957989978598e-05,3.081801342408319e-06,-0.0
faction_id_AS,1.962899659513392e-05,2.5863657571623124e-06,-0.0
4936,3.7569310083618023e-06,2.103211308002173e-06,0.0
Thousand Sons,8.247961094821044e-06,1.947562493120891e-06,0.0
faction_id_QI,1.0025490643367789e-05,1.807942971066012e-06,-0.1899013907545986
1634,2.0968635993090125e-05,1.8029787518303308e-06,-66.62523846522578
